GridX,GridY,Height,Speed
341310.36418502114,4.77462967618434e6,80.0,6.75
341329.08673564246,4.77462967618434e6,80.0,7.5
341339.3822368511,4.77462967618434e6,80.0,7.25
341349.8077539723,4.77462967618434e6,80.0,6.75
341360.398353781,4.77462967618434e6,80.0,7.25
341370.43104831455,4.77462967618434e6,80.0,7.75
341380.44917907554,4.77462967618434e6,80.0,7.75
341390.45431167,4.77462967618434e6,80.0,5.5
341400.4853486712,4.77462967618434e6,80.0,8.0
341430.4853486712,4.77462967618434e6,80.0,8.0
341460.4853486712,4.77462967618434e6,80.0,8.0
341490.4853486712,4.77462967618434e6,80.0,8.0
341520.4853486712,4.77462967618434e6,80.0,8.0
341550.4853486712,4.77462967618434e6,80.0,8.0
341580.4853486712,4.77462967618434e6,80.0,8.0
341610.4853486712,4.77462967618434e6,80.0,7.75
341622.4970731569,4.77462967618434e6,80.0,5.75
341624.345815165,4.774639676184476e6,80.0,5.25
341624.345815165,4.774654732147064e6,80.0,5.0
341624.345815165,4.774666036108153e6,80.0,6.0
341614.34581494436,4.77466967618434e6,80.0,8.0
341596.49503820733,4.77466967618434e6,80.0,8.0
341566.49503820733,4.77466967618434e6,80.0,8.0
341536.49503820733,4.77466967618434e6,80.0,8.0
341506.49503820733,4.77466967618434e6,80.0,8.0
341476.49503820733,4.77466967618434e6,80.0,8.0
341446.49503820733,4.77466967618434e6,80.0,8.0
341416.49503820733,4.77466967618434e6,80.0,8.0
341386.49503820733,4.77466967618434e6,80.0,2.5
341376.4944560722,4.77466967618434e6,80.0,3.75
341361.92363050306,4.77466967618434e6,80.0,6.0
341351.35559092765,4.77466967618434e6,80.0,6.25
341341.2224707446,4.77466967618434e6,80.0,6.75
341331.1879822727,4.77466967618434e6,80.0,7.0
341309.9226417665,4.77466967618434e6,80.0,5.5
341300.36418483494,4.774679858015129e6,80.0,5.0
341300.36418483494,4.774689980379119e6,80.0,6.0
341300.36418483494,4.774702746892638e6,80.0,6.0
341310.36418489175,4.77470967618434e6,80.0,5.5
341324.7156142855,4.77470967618434e6,80.0,6.25
341336.2540704899,4.77470967618434e6,80.0,7.25
341346.7165291942,4.77470967618434e6,80.0,7.0
341356.7178481565,4.77470967618434e6,80.0,4.5
341366.82723568485,4.77470967618434e6,80.0,4.75
341376.8363975383,4.77470967618434e6,80.0,3.0
341387.5042631988,4.77470967618434e6,80.0,2.0
341412.2947159574,4.77470967618434e6,80.0,8.0
341442.2947159574,4.77470967618434e6,80.0,8.0
341472.2947159574,4.77470967618434e6,80.0,8.0
341502.2947159574,4.77470967618434e6,80.0,4.0
341512.3012212743,4.77470967618434e6,80.0,8.0
341542.3012212743,4.77470967618434e6,80.0,8.0
341572.3012212743,4.77470967618434e6,80.0,8.0
341602.3012212743,4.77470967618434e6,80.0,8.0
341624.345815165,4.77472016312574e6,80.0,5.25
341624.345815165,4.774731921959533e6,80.0,5.25
341624.345815165,4.774742991219814e6,80.0,5.0
341614.34581513423,4.77474967618434e6,80.0,4.0
341599.9824069527,4.77474967618434e6,80.0,6.5
341589.92492171435,4.77474967618434e6,80.0,7.5
341579.7949040112,4.77474967618434e6,80.0,4.25
341569.32090456283,4.77474967618434e6,80.0,2.5
341554.78053532745,4.77474967618434e6,80.0,5.75
341542.71438454854,4.77474967618434e6,80.0,8.0
341512.71438454854,4.77474967618434e6,80.0,8.0
341482.71438454854,4.77474967618434e6,80.0,7.5
341472.6954953699,4.77474967618434e6,80.0,8.0
341442.6954953699,4.77474967618434e6,80.0,8.0
341412.6954953699,4.77474967618434e6,80.0,8.0
341382.6954953699,4.77474967618434e6,80.0,4.5
341372.68688709184,4.77474967618434e6,80.0,4.0
341362.6578018475,4.77474967618434e6,80.0,2.75
341352.6530463091,4.77474967618434e6,80.0,4.5
341342.36990468553,4.77474967618434e6,80.0,4.25
341332.2427753024,4.77474967618434e6,80.0,6.75
341321.5585780667,4.77474967618434e6,80.0,7.0
341311.50409389264,4.77474967618434e6,80.0,6.5
341301.119463947,4.77474967618434e6,80.0,7.0
341300.36418483494,4.774759686055229e6,80.0,7.25
341300.36418483494,4.774769750591655e6,80.0,7.25
341300.36418483494,4.774779779649374e6,80.0,6.75
341310.3641852745,4.77478967618434e6,80.0,6.5
341324.63879720995,4.77478967618434e6,80.0,5.0
341334.7357196105,4.77478967618434e6,80.0,6.25
341344.8597289919,4.77478967618434e6,80.0,5.25
341354.9082404007,4.77478967618434e6,80.0,4.75
341365.1859557695,4.77478967618434e6,80.0,2.5
341375.2198824509,4.77478967618434e6,80.0,2.0
341388.9330646454,4.77478967618434e6,80.0,2.0
341400.6507276892,4.77478967618434e6,80.0,2.0
341429.9750297646,4.77478967618434e6,80.0,8.0
341459.9750297646,4.77478967618434e6,80.0,8.0
341489.9750297646,4.77478967618434e6,80.0,8.0
341519.9750297646,4.77478967618434e6,80.0,8.0
341549.9750297646,4.77478967618434e6,80.0,8.0
341579.9750297646,4.77478967618434e6,80.0,8.0
341609.9750297646,4.77478967618434e6,80.0,4.25
341620.12338733353,4.77478967618434e6,80.0,2.25
341624.345815165,4.77480316702315e6,80.0,5.0
341624.345815165,4.774817457377876e6,80.0,5.0
341624.345815165,4.774828107666021e6,80.0,6.0
341614.3458151066,4.77482967618434e6,80.0,2.25
341595.45170146495,4.77482967618434e6,80.0,8.0
341565.45170146495,4.77482967618434e6,80.0,8.0
341535.45170146495,4.77482967618434e6,80.0,8.0
341505.45170146495,4.77482967618434e6,80.0,8.0
341475.45170146495,4.77482967618434e6,80.0,8.0
341445.45170146495,4.77482967618434e6,80.0,8.0
341415.45170146495,4.77482967618434e6,80.0,8.0
341385.45170146495,4.77482967618434e6,80.0,8.0
341355.45170146495,4.77482967618434e6,80.0,2.5
341345.11158811173,4.77482967618434e6,80.0,2.25
341335.018986165,4.77482967618434e6,80.0,3.0
341324.3024091924,4.77482967618434e6,80.0,2.75
341314.17208190163,4.77482967618434e6,80.0,5.25
341303.63113685,4.77482967618434e6,80.0,7.5
341300.36418483494,4.774839740690816e6,80.0,8.0
341330.36418483494,4.77486967618434e6,80.0,8.0
341360.36418483494,4.77486967618434e6,80.0,8.0
341390.36418483494,4.77486967618434e6,80.0,8.0
341420.36418483494,4.77486967618434e6,80.0,8.0
341450.36418483494,4.77486967618434e6,80.0,4.75
341460.3788117305,4.77486967618434e6,80.0,4.0
341472.7315712978,4.77486967618434e6,80.0,3.0
341482.764156223,4.77486967618434e6,80.0,5.25
341492.77634570235,4.77486967618434e6,80.0,3.0
341502.8049212049,4.77486967618434e6,80.0,7.75
341512.82367555244,4.77486967618434e6,80.0,8.0
341542.82367555244,4.77486967618434e6,80.0,8.0
341572.82367555244,4.77486967618434e6,80.0,8.0
341602.82367555244,4.77486967618434e6,80.0,4.5
341612.8302582006,4.77486967618434e6,80.0,6.0
341622.86827962386,4.77486967618434e6,80.0,6.5
