0,1,10–25,>1–10,>25,Kernel,Mission,Ncells,Return
,,,,,,,,Field
0,1,10–25,>1–10,>25,Kernel,Mission,Ncells,Return
2.61,0.01,0.1,0.06,97.22,G,Density-aware,55719,All
2.53,0.01,0.06,0.04,97.36,E,Density-aware,55719,All
2.19,0.02,0.06,0.06,97.67,G,Speed-aware,55719,All
1.81,0.02,0.23,0.08,97.87,E,Speed-aware,55719,All
1.74,0.01,0.04,0.03,98.18,——,Const 2 m/s,55719,All
1.81,0.02,0.07,0.06,98.04,——,Const 8 m/s,55719,All
2.73,0.05,1.03,0.43,95.76,G,Density-aware,55719,Ground
2.66,0.06,0.91,0.42,95.95,E,Density-aware,55719,Ground
2.31,0.05,0.81,0.45,96.38,G,Speed-aware,55719,Ground
1.97,0.07,1.12,0.55,96.28,E,Speed-aware,55719,Ground
1.83,0.03,0.36,0.22,97.57,——,Const 2 m/s,55719,Ground
1.91,0.04,0.7,0.42,96.92,——,Const 8 m/s,55719,Ground
,,,,,,,,
,,,,,,,,Deciduous
0,1,10–25,>1–10,>25,Kernel,Mission,Ncells,Return
3.49,0.06,0.49,0.39,95.57,G,Density-aware,24080,All
1.08,0.04,0.68,0.38,97.82,E,Density-aware,24080,All
2.12,0.05,0.57,0.5,96.76,G,Speed-aware,24080,All
1.4,0.07,0.86,0.58,97.09,E,Speed-aware,24080,All
5.42,0.05,0.27,0.36,93.92,——,Const 2 m/s,24080,All
3.29,0.07,0.46,0.65,95.52,——,Const 8 m/s,24080,All
4.75,0.43,8.55,4.0,82.27,G,Density-aware,24080,Ground
2.03,0.38,9.12,4.7,83.76,E,Density-aware,24080,Ground
3.36,0.42,7.97,3.99,84.26,G,Speed-aware,24080,Ground
2.53,0.49,9.71,5.21,82.06,E,Speed-aware,24080,Ground
6.51,0.34,3.4,2.18,87.57,——,Const 2 m/s,24080,Ground
4.64,0.43,8.95,4.31,81.66,——,Const 8 m/s,24080,Ground
,,,,,,,,
,,,,,,,,Coniferous
0,1,10–25,>1–10,>25,Kernel,Mission,Ncells,Return
9.57,0.04,0.87,0.72,88.8,G,Density-aware,5413,All
2.16,0.09,0.46,0.63,96.66,E,Density-aware,5413,All
6.24,0.33,1.2,1.11,91.11,G,Speed-aware,5413,All
3.84,0.22,0.91,1.35,93.68,E,Speed-aware,5413,All
8.54,0.17,0.63,0.7,89.97,——,Const 2 m/s,5413,All
5.58,0.17,1.05,0.91,92.3,——,Const 8 m/s,5413,All
11.12,0.76,15.52,7.85,64.75,G,Density-aware,5413,Ground
4.08,0.96,19.16,10.9,64.9,E,Density-aware,5413,Ground
7.87,0.76,15.06,7.43,68.89,G,Speed-aware,5413,Ground
5.67,0.79,16.63,9.72,67.19,E,Speed-aware,5413,Ground
10.55,1.02,10.44,6.21,71.79,——,Const 2 m/s,5413,Ground
8.09,1.02,17.05,9.16,64.68,——,Const 8 m/s,5413,Ground
,,,,,,,,
