Cover,Return,Mission,Kernel,ncells,Q1,Q2,Q3,IQR,Mean,N,CR,CV,Gini,MoranI
Coniferous,All,Const 2 m/s,——,4951,1996.5,2909.0,4138.0,2141.5,3282.957988285195,5413,0.9146499168668022,0.6329427421490855,0.33229711679226814,0.6812043748687499
Coniferous,All,Const 8 m/s,——,5111,471.5,713.0,1017.5,546.0,792.5380551751125,5413,0.9442083872159616,0.6357939047491253,0.3378772391884364,0.675354958392282
Coniferous,All,Density-aware,E,5296,629.75,1229.5,2082.0,1452.25,1530.9480740181268,5413,0.9783853685571772,0.8504869443297379,0.42992151499903297,0.8116473870283917
Coniferous,All,Density-aware,G,4895,787.0,1401.0,2188.0,1401.0,1616.6753830439225,5413,0.9043044522445963,0.7334311601173551,0.3889598445406659,0.7184944750814959
Coniferous,All,Speed-aware,E,5205,618.0,1220.0,2053.0,1435.0,1459.1619596541786,5413,0.9615739885460928,0.7799089819984594,0.41678001544518795,0.7453953289699825
Coniferous,All,Speed-aware,G,5075,771.0,1400.0,2237.5,1466.5,1633.894384236453,5413,0.9375577313874007,0.7468641536546107,0.3959630778748895,0.7618250484591016
Deciduous,All,Const 2 m/s,——,22776,1849.0,2768.0,3804.0,1955.0,2971.140762205831,24080,0.9458471760797342,0.5977244531178181,0.3197373833229502,0.687353758992601
Deciduous,All,Const 8 m/s,——,23287,449.0,698.0,978.0,529.0,755.3919354146091,24080,0.9670681063122923,0.6064587299195344,0.32574381745519787,0.6891654694702756
Deciduous,All,Density-aware,E,23819,557.0,980.0,1608.0,1051.0,1199.0186825643393,24080,0.9891611295681063,0.7815209418578303,0.40200403960376985,0.7654131731858814
Deciduous,All,Density-aware,G,23240,524.0,976.0,1580.0,1056.0,1183.4390275387264,24080,0.9651162790697675,0.8088863961231288,0.4087251451711418,0.7809805942356524
Deciduous,All,Speed-aware,E,23743,519.0,939.0,1532.0,1013.0,1154.5249547234976,24080,0.9860049833887043,0.8070360353113389,0.4097500286493345,0.7738546981630763
Deciduous,All,Speed-aware,G,23569,542.0,952.0,1530.0,988.0,1162.8307098307098,24080,0.9787790697674419,0.7926120811106483,0.39745464455080004,0.7956068766933884
Field,All,Const 2 m/s,——,54747,1210.0,1350.0,1565.0,355.0,1493.1006995817122,55719,0.9825553222419642,0.44964367131222455,0.2004018847565574,0.772259594812064
Field,All,Const 8 m/s,——,54710,305.0,341.0,393.0,88.0,375.29628952659476,55719,0.981891275866401,0.4546833787099757,0.20142409592853072,0.7089976895882629
Field,All,Density-aware,E,54308,294.0,370.0,503.0,209.0,443.09409295131474,55719,0.9746765017319048,0.648520487689684,0.298220768959506,0.8465665503866769
Field,All,Density-aware,G,54267,298.0,379.0,530.0,232.0,468.4483940516336,55719,0.9739406665589835,0.7910614136821744,0.32297008502566316,0.8562575069317848
Field,All,Speed-aware,E,54711,292.0,371.0,488.0,196.0,433.26747820365193,55719,0.9819092230657406,0.6522030185127392,0.29686007239046086,0.8211466032382966
Field,All,Speed-aware,G,54497,287.0,370.0,495.0,208.0,436.29030955832434,55719,0.9780685224070784,0.7022699766902851,0.2989986292346376,0.8393338390456995
Coniferous,Ground,Const 2 m/s,——,4842,34.0,94.0,190.0,156.0,126.11730689797604,5413,0.8945132089414373,0.9025811788790914,0.48247979688095,0.7079003576681551
Coniferous,Ground,Const 8 m/s,——,4975,22.0,46.0,79.0,57.0,54.362613065326634,5413,0.919083687419176,0.7383429269192688,0.4084264073664634,0.6857809910526882
Coniferous,Ground,Density-aware,E,5192,20.0,43.0,83.0,63.0,58.83551617873652,5413,0.9591723628302236,0.8964107953405207,0.46577528688068925,0.7100119920915912
Coniferous,Ground,Density-aware,G,4811,24.0,49.0,89.0,65.0,63.62190812720848,5413,0.8887862553112876,0.8386500013969772,0.44090319111672227,0.7085503505211296
Coniferous,Ground,Speed-aware,E,5106,22.0,45.0,81.0,59.0,58.2542107324716,5413,0.9432846850175504,0.8422079357324422,0.4408493094201189,0.6887186466585775
Coniferous,Ground,Speed-aware,G,4987,25.0,50.0,90.0,65.0,64.80749949869661,5413,0.921300572695363,0.8191088163407712,0.43399023571839246,0.6982831416356198
